orgnid,keyword1,keyword2
100027,7,58
100027,6,171
100027,6,37
100027,1,4984
100027,3,354
100404,11,170
100404,11,2109
201243,7,75
201243,11,8654
201243,11,988
201243,5,40
201243,7,6356
201243,7,5590
201243,9,17803
201243,9,280
100090,10,104
100111,5,75
100111,1,140
100111,5,8456
100112,1,18231
100112,7,182
100112,9,6972
200654,10,21
200654,1,7869
200654,4,14
200654,9,10034
200654,1,3942
201016,1,801
201016,4,118
201016,3,495
201016,3,170
201016,7,643
201016,11,183
201016,11,644
201016,7,5886
201016,5,2125
201016,10,14719
100296,11,55
100296,3,421
100296,33,497
100296,31,62
100296,3,559
100296,1,14662
100296,31,685
100296,3,23
100296,2,3
100296,10,959
100044,10,1528
201180,9,31
201180,1,2221
201180,10,650
201180,9,6703
100114,9,403
100114,9,278
100070,1,2053
100113,33,150
100113,33,1374
100113,3,349
100113,4,14908
100113,7,8144
100113,5,53
100113,4,110
100113,11,69
100113,1,3515
100113,3,65
100113,3,147
201149,1,1345
201149,31,744
100391,33,414
100391,7,24
100391,10,110
100391,21,31
100391,7,182
100391,1,54
100391,1,3044
100330,10,706
100330,11,166
100330,10,266
100330,10,25
100330,31,240
100461,5,9644
100461,1,1534
100461,9,1880
100461,31,64
100461,3,22
100461,7,19
100453,10,555
100453,31,553
100453,9,452
100453,31,5174
200625,33,1196
200625,31,72
200625,1,12170
200625,31,2736
200625,1,302
200625,9,693
100057,1,46
100057,9,958
100057,31,779
100057,9,12094
100057,31,3791
100057,9,776
100057,9,2488
100181,4,121
100181,3,8225
100181,10,8689
100181,1,102
100181,4,11111
100181,5,1454
100181,5,1002
100181,4,237
201361,10,104
201361,5,18587
201361,3,69
201361,25,33
201361,4,23
201361,11,47
201361,3,102
201361,3,1358
201361,7,418
201361,10,1667
201393,3,5017
100241,1,281
100241,31,1391
100241,9,1747
100241,1,2488
201214,6,19
201214,6,28
201214,11,1050
201214,7,75
201214,1,68
201214,7,2033
201214,3,11507
201214,6,23
400018,6,18116
400018,10,698
400018,31,400
400018,11,191
400018,1,2698
400018,7,237
400018,1,1283
400018,1,7164
400018,1,356
100152,1,397
100152,31,291
100152,5,7
100152,7,1117
100152,10,4383
100152,10,182
100152,31,1031
100152,3,437
100152,9,4810
100152,10,126
100152,1,73
201260,7,292
201260,10,2437
201260,1,323
201260,31,2135
201260,1,789
201260,10,956
201260,9,2321
201260,4,5551
201260,9,2659
201260,10,31
201260,10,1298
201260,10,317
201260,1,638
100063,6,1840
100081,9,1023
100081,9,46
100081,1,15988
100219,9,2421
100219,3,20
100219,6,162
100219,11,10132
100219,9,302
100219,11,15
100219,9,416
100219,3,25
100027,9,3924
100027,9,808
100027,3,171
100027,31,252
100027,7,546
100027,41,1421
100027,7,15
100027,10,455
100027,9,1619
100027,9,6943
100027,10,995
100027,7,19
100404,10,178
100404,9,82
100404,3,358
100404,33,460
201243,6,42
201243,4,102
201243,3,482
201243,7,67
201243,5,41
201243,5,122
201243,3,18
201243,4,18
201243,1433,7165
201243,1,10936
201243,11,103
201243,11,7349
201243,9,661
201243,1,976
100090,10,129
100111,31,1883
100111,5,77
100111,31,4400
100111,24,31
100112,1,14436
200654,1,8049
200654,9,4578
200654,1,6206
200654,7,95
200654,8,204
200654,1,13518
200654,1,1857
201016,11,1855
201016,3,49
201016,11,152
201016,5,35
201016,2,160
201016,33,150
201016,1,629
201016,7,1064
201016,3,20
201016,7,15
201016,3,7568
201016,5,1055
201016,6,36
201016,2,22
201016,2,35
201016,3,5
201016,3,421
100073,31,8614
100073,31,2202
100296,2,92
100296,4,11346
100296,3,673
100296,7,16724
100296,11,58
100296,3,312
100296,3,89
100296,7,44
100296,10,4995
100296,8,38
100044,5,644
201180,9,284
201180,1,46
201180,9,250
201180,9,2797
201180,1,1288
100114,1,353
100114,1,1992
100114,10,511
100070,1,1302
100113,11,270
100113,11,1131
100113,3,168
100113,2,127
100113,3,124
100113,1,17370
100113,1,1828
100113,7,1798
100113,9,1143
100113,9,1904
100113,7,292
100113,10,181
100113,1,2661
