YEAR,keyword1,keyword2
2006,6,295
2006,7,13
2006,6,28
2006,9,543
2007,6,569
2007,1,231
2007,1,5094
2007,3,89
2007,7,58
2007,6,171
2007,6,37
2007,1,4984
2007,3,354
2007,11,170
2007,11,2109
2007,7,75
2007,11,8654
2007,11,988
2007,6,122
2007,5,40
2007,7,6356
2007,7,5590
2007,9,17803
2007,9,280
2007,10,104
2007,7,86
2007,5,75
2007,1,140
2007,5,8456
2007,1,18231
2007,7,182
2007,9,6972
2007,1,5054
2007,10,21
2007,31,76
2007,1,7869
2007,10,374
2007,4,14
2007,9,10034
2007,1,3942
2007,7,248
2007,1,801
2007,4,118
2007,3,495
2007,3,170
2007,7,643
2007,11,183
2007,11,644
2007,7,5886
2007,5,2125
2007,10,14719
2007,11,55
2007,3,421
2007,33,497
2007,31,62
2007,4,418
2007,3,559
2007,1,14662
2007,31,685
2007,31,64
2007,3,23
2007,24,31
2007,2,3
2007,10,959
2007,10,1528
2007,9,31
2007,1,2221
2007,10,650
2007,9,6703
2007,9,403
2007,9,278
2007,1,2053
2007,33,150
2007,33,1374
2007,3,349
2007,4,14908
2007,7,8144
2007,5,53
2007,4,110
2007,11,69
2007,1,3515
2007,3,65
2007,3,147
2007,1,1345
2007,31,744
2007,33,414
2007,7,24
2007,10,110
2007,21,31
2007,1,54
2007,1,3044
2007,31,129
2007,10,706
2007,11,166
2007,10,266
2007,10,25
2007,31,240
2007,5,9644
2007,1,1534
2007,9,1880
2007,3,22
2007,7,19
2007,10,264
2007,10,555
2007,7,14
2007,31,553
2007,9,452
2007,31,5174
2007,33,1196
2007,1,917
2007,31,72
2007,1,12170
2007,31,2736
2007,1,302
2007,9,693
2007,1,46
2007,9,958
2007,31,779
2007,9,12094
2007,31,3791
2007,9,776
2007,9,2488
2007,4,121
2007,3,8225
2007,10,8689
2007,1,102
2007,4,11111
2007,5,1454
2007,5,1002
2007,4,237
2007,5,18587
2007,3,69
2007,25,33
2007,3,168
2007,4,23
2007,11,47
2007,3,102
2007,3,1358
2007,7,418
2007,10,1667
2007,3,5017
2007,1,281
2007,31,1391
2007,9,1747
2007,1,2488
2007,6,19
2007,6,28
2007,11,1050
2007,1,68
2007,7,2033
2007,3,11507
2007,6,23
2007,6,18116
2007,10,698
2007,31,400
2007,11,191
2007,1,2698
2007,7,237
2007,1,1283
2007,1,7164
2007,1,356
2007,5,739
2007,1,397
2007,31,291
2007,5,7
2007,7,1117
2007,10,4383
2007,10,182
2007,31,1031
2007,3,437
2007,9,4810
2007,10,126
2007,1,73
2007,7,292
2007,10,2437
2007,1,323
2007,31,2135
2007,1,789
2007,10,956
2007,9,2321
2007,4,5551
2007,9,2659
2007,10,31
2007,10,1298
2007,10,317
2007,1,638
2007,6,1840
2007,9,1023
2007,9,46
2007,1,15988
2007,9,2421
2007,3,20
2007,6,162
2007,11,10132
2007,9,302
2007,11,15
2007,9,416
2007,3,25
2008,9,3924
2008,9,808
2008,3,171
2008,31,252
2008,7,546
2008,41,1421
2008,7,15
2008,10,455
2008,9,1619
2008,9,6943
2008,10,995
2008,3,69
2008,5,14
2008,7,19
2008,10,178
2008,9,82
2008,3,358
2008,11,170
2008,33,460
2008,6,42
2008,4,102
2008,3,482
2008,6,23
2008,7,67
2008,5,41
2008,5,122
2008,3,18
2008,4,18
2008,1433,7165
2008,1,10936
2008,7,134
2008,11,103
2008,11,7349
2008,9,661
2008,1,976
2008,10,129
2008,31,1883
2008,5,77
2008,31,4400
2008,24,31
2008,1,14436
2008,1,8049
2008,9,4578
2008,1,6206
2008,7,95
2008,8,204
2008,1,13518
2008,1,1857
2008,11,1855
2008,3,49
2008,11,152
2008,5,35
2008,2,160
2008,33,150
2008,1,629
2008,7,1064
2008,3,20
2008,3,7568
2008,5,1055
2008,6,36
2008,2,22
2008,2,35
2008,3,5
2008,3,421
2008,31,8614
2008,31,2202
2008,2,3
2008,2,92
2008,4,11346
2008,3,673
2008,7,1339
2008,11,15
2008,7,16724
2008,11,58
2008,3,312
2008,3,89
2008,7,44
2008,10,4995
2008,8,38
2008,1,1992
2008,5,644
2008,9,284
2008,1,46
2008,9,250
2008,9,2797
2008,1,1288
2008,1,353
2008,10,511
2008,1,1302
2008,11,270
2008,11,1131
2008,3,28
2008,3,168
2008,2,127
2008,6,75
2008,3,124
2008,1,17370
2008,1,1828
2008,3,7
2008,7,1798
2008,9,1143
2008,9,743
2008,9,1904
2008,7,292
2008,10,181
