YEAR,keyword1,keyword2,keyword3
2008,49,856,1433
2008,1,3261,7627
2008,5,18,102
2008,1,1592,2153
2008,9,38,776
2008,9,45,132
2008,3,517,985
2008,33,910,2225
2008,10,6334,8174
2008,6,41,768
2008,3,753,2577
2008,31,1403,3575
2008,4,37,11959
2008,33,103,1840
2008,33,159,176
2008,9,1238,13902
2008,33,34,40
2008,33,124,176
2008,31,149,224
2008,31,1598,4803
2008,4,315,3793
2008,7,524,3650
2008,11,13,4348
2008,10,918,2169
2008,10,264,605
2008,10,264,1359
2008,7,157,768
2008,3,3432,5643
2008,7,1117,7640
2008,1,3181,4814
2008,7,89,201
2008,16,31,64
2008,10,264,3662
2008,11,127,150
2008,3,53,116
2008,3,6,97
2008,11,127,7487
2008,6,13,93
2008,6,92,299
2008,10,31,555
2008,4,116,507
2008,1,599,7324
2008,9,905,5555
2008,10,1289,1359
2008,1,283,1149
2008,1,917,6656
2008,11,1050,1655
2008,3,52,171
2008,1,265,311
2008,1,16,268
2008,10,119,654
2008,9,6911,9402
2008,5,34,170
2008,7,13,504
2008,6,28,35
2008,9,10532,14608
2008,11,4213,5709
2008,6,28,2210
2008,5,199,6546
2008,1,105,5159
2008,9,611,3654
2008,7,18,27
2008,11,1050,8310
2008,3,4690,14745
2008,1,4102,4672
2008,1,1283,11466
2008,7,294,5321
2008,10,511,3232
2008,2,354,1404
2008,7,305,497
2008,31,769,859
2008,31,220,454
2008,1,1037,2017
2008,7,608,680
2008,31,508,1619
2008,5,2791,4295
2008,7,2491,13790
2008,5,90,328
2008,6,75,2104
2008,9,38,3791
2008,10,36,70
2008,1,3720,7129
2008,10,703,1177
2008,10,182,264
2008,3,962,1577
2008,9,250,8784
2008,7,185,206
2008,1,2052,9223
2008,10,940,1523
2008,1,677,2368
2008,31,395,3884
2008,8,1572,9734
2008,9,1568,15837
2008,11,13,15
2008,7,11,15
2008,9,38,149
2008,9,6767,9418
2009,11,484,2800
2009,7,71,569
2009,1,261,10856
2009,11,333,1807
2009,11,950,1429
2009,2,337,5143
2009,11,13,18
2009,11,15,644
2009,5,71,623
2009,1,138,738
2009,2,3,12
2009,4,6,1749
2009,3,160,12335
2009,3,69,10193
2009,3,89,251
2009,1,1657,2881
2009,8,370,529
2009,9,355,2697
2009,8,198,1838
2009,6,42,162
2009,9,1568,1731
2009,2,34,52
2009,9,53,10252
2009,4,2789,3031
2009,11,32,152
2009,11,51,157
2009,9,101,278
2009,31,291,8384
2009,6,122,15289
2009,3,69,6875
2009,3,179,5671
2009,31,856,11033
2009,7,3860,7305
2009,27,31,2596
2009,150,348,855
2009,2,3,7395
2009,5,209,456
2009,1,1863,2575
2009,9,416,6406
2009,8,60,17163
2009,9,192,3169
2009,6,12,19
2009,31,76,1695
2009,8,4115,4569
2009,10,1843,8219
2009,7,157,2934
2009,31,198,202
2009,7,28,1203
2009,3,5,23
2009,3,12445,13409
2009,3,337,1681
2009,2,389,1357
2009,3,22,92
2009,23,33,504
2009,6,41,153
2009,3,922,1401
2009,10,264,317
2009,3,89,237
2009,11,152,1631
2009,11,16322,17227
2009,3,89,166
2009,10,1632,4710
2009,11,15,3201
2009,3,2035,4040
2009,11,615,6724
2009,1,302,4250
2009,31,497,2330
2009,2,994,1413
2009,11,13,15
2009,8,38,660
2009,3,1792,5096
2009,8,732,2367
2009,8,221,242
2009,10,144,2876
2009,3,208,266
2009,33,125,10551
2009,11,16,1131
2009,4,43,274
2009,4,32,1376
2009,31,64,4049
2009,8,481,4374
2009,10,466,550
2009,9,80,165
2009,9,2022,6348
2009,9,808,3523
2009,1,10758,11740
2009,10,2969,6805
2009,1,30,541
2009,9,5767,7802
2009,10,2645,4043
2009,5,1314,13921
2009,11,223,4348
2009,2,2788,12008
2009,6,75,389
2009,7,13,375
2009,11,22,1424
2009,31,156,573
2009,7,58,99
2009,3,158,396
2009,1,174,8716
2009,2,5365,9280
2009,2,20,69
2009,5,36,431
2009,10,1493,5890
2009,1,5116,5239
2009,1,2204,8132
2009,31,198,454
2009,10,126,144
2009,33,517,1659
2009,6,23,152
2009,11,684,14159
2009,31,4432,11722
2009,10,198,4489
2009,10,1104,14298
2009,10,287,2036
2009,8,38,1598
2009,31,64,16095
2009,11,3168,3642
2009,10,203,266
2009,10,264,1147
2009,31,64,291
2009,31,835,18586
2009,9,2808,3413
2009,7,6516,14046
2009,7,23,644
2009,3,28,115
2009,1,5960,6418
2009,31,98,1031
2009,8,171,1649
2009,3,97,8543
2009,10,264,477
2009,3,52,115
2009,3,476,3326
2009,8,211,370
2009,10,429,1624
2009,2,28,65
2009,3,89,286
2009,1,132,4304
2009,10,448,4899
2009,3,8269,15920
2009,3,57,1855
2009,11,18,2957
2009,7,125,608
2009,3,179,3964
2009,1,9,345
2009,1,1481,1926
2009,2,154,2667
2009,1,440,581
2009,14,33,207
2009,3,34,497
2009,3,111,1357
2009,3,75,93
2009,4,133,870
2009,31,185,1454
2009,3,1958,10177
2009,3,20,1325
2009,8,38,7454
2009,11,43,251
2009,3,684,1002
2009,4,3322,9598
2009,3,371,2043
2009,11,1107,9836
2009,4,14,43
2009,10,1289,2574
2009,4,782,2890
2009,31,1289,2513
2009,3,574,1570
2009,5,6,201
2009,4,32,407
2009,5,420,473
2009,10,650,9205
2009,4,7481,12820
2009,10,6902,12244
2009,11,18,47
2009,4,1134,2465
2009,3,166,888
2009,11,615,652
2009,6,115,472
2009,3,118,312
2009,5,117,9309
2009,6,23,439
2009,10,182,4052
2009,11,1107,1522
2009,3,69,829
2009,9,1997,8781
2009,11,102,652
2009,9,4521,18695
2009,1,320,353
2009,11,102,1860
2009,1,1538,2236
2009,10,826,4722
2009,10,173,754
2009,6,23,42
2009,11,2426,12564
2009,11,2904,19928
2009,11,1191,2446
2009,11,15,1194
2009,7,18,938
2009,3,5,251
2009,7,123,1050
2009,11,13,1050
2009,11,1050,1631
2009,1,362,1283
2009,1,3355,14937
2009,2,92,1210
2009,5,623,11095
2009,10,266,1620
2009,32,33,244
2009,7,15,527
2009,11,13,22
2009,4,458,601
2009,6,23,737
2009,2,594,2235
2009,6,1601,16378
2009,31,240,851
2009,2,3094,5237
2009,1,1407,3589
2009,3,162,8281
2009,5,48,2213
2009,1,543,8431
2009,3,69,1066
2009,11,18,2276
2009,8,211,224
2009,10,800,2595
2009,10,974,995
2009,10,264,666
2009,3,348,2982
2009,8,464,3691
2009,15,1406,1433
2009,3,69,158
2009,33,197,277
2009,7,405,3895
2009,10,264,4339
2009,8,60,242
2009,8,1168,8842
2009,31,290,2807
2009,7,818,853
2009,33,2938,9829
2009,8,38,221
2009,8,38,192
2009,1,537,6943
2009,8,10,429
2009,11,15,193
2009,5,496,2889
2009,9,2661,4985
2009,3,20,1263
2009,1,1991,3589
2009,11,197,989
2009,4,15,20
2009,9,7602,9667
2010,7,28,2311
2010,7,28,179
2010,3,69,123
2010,11,15,685
2010,3,118,2311
2010,11,15,5398
2010,8,1717,3165
2010,11,18,6770
2010,3,22,855
2010,3,524,2828
2010,3,321,479
2010,33,1474,3376
2010,5,569,19825
2010,5,67,441
2010,4,19,507
2010,33,389,1058
2010,33,11121,17678
2010,33,34,354
2010,4,564,992
2010,1,132,345
2010,3,166,482
2010,2,52,171
2010,10,995,1743
2010,6,42,441
2010,7,318,10903
2010,5,1390,2855
2010,1,2531,6488
2010,11,39,612
2010,4,202,1307
2010,2,3,994
2010,11,12564,16858
2010,33,288,2298
2010,3,169,9951
2010,11,183,999
2010,1,80,2421
2010,25,33,219
2010,33,34,369
2010,9,2011,6495
2010,3,1516,2264
2010,8,172,2164
2010,1,291,849
2010,11,1415,7076
2010,9,2432,5017
2010,11,15,2848
2010,6,71,6030
2010,9,1036,5473
2010,2,2712,16531
2010,3,35,122
2010,31,72,3567
2010,6,51,1712
2010,8,545,1088
2010,3,443,1226
2010,5,2510,5445
2010,1,346,10765
2010,1,6274,9591
2010,31,134,804
2010,9,3624,3635
2010,10,214,2529
2010,9,2062,4674
2010,9,4259,7015
2010,3,202,3628
2010,6,42,51
2010,6,44,122
2010,4,5,347
2010,11,18,152
2010,2,3,183
2010,4,407,1265
2010,6,32,71
2010,6,28,42
2010,7,201,215
2010,2,4,1774
2010,3,6,71
2010,2,3,71
2010,3,18,3294
2010,3,6,347
2010,6,92,2957
2010,3,1025,1099
