orgnid,keyword1,keyword2,keyword3
400018,1,356,505
100152,5,739,4344
100152,1,397,2069
100152,31,291,1031
100152,5,7,199
100152,7,1117,2071
100152,10,4383,4911
100152,10,182,1743
100152,31,1031,1359
100152,3,437,1351
100152,9,4810,7434
100152,10,126,3716
100152,1,73,2923
201260,7,292,2015
201260,10,2437,16257
201260,1,323,16511
201260,31,2135,16433
201260,1,789,11164
201260,10,956,2437
201260,9,2321,3655
201260,7,86,120
201260,9,2659,2823
201260,10,31,6231
201260,10,1298,2000
201260,10,317,871
201260,1,638,849
100063,6,1840,13761
100081,9,1023,7313
100081,9,46,3178
100219,3,20,4298
100219,6,162,1706
100219,11,10132,16900
100219,9,302,3264
100219,11,15,527
100219,9,416,561
100219,3,25,1022
100027,3,171,233
100027,31,252,256
100027,7,546,1331
100027,41,1421,1433
100027,7,15,58
100027,10,455,2573
100027,9,1619,2726
100027,9,6943,19918
100027,10,995,2085
100027,3,69,364
100027,5,14,934
100027,7,19,4903
100404,10,178,4451
100404,9,82,4796
100404,3,358,825
100404,33,460,1402
201243,6,42,910
201243,4,102,176
201243,3,482,720
201243,6,23,439
201243,7,67,15107
201243,5,41,5186
201243,5,122,318
201243,3,18,15184
201243,4,18,251
201243,1433,7165,19922
201243,1,10936,12465
201243,7,134,15107
201243,11,103,1522
201243,11,7349,14530
201243,9,661,743
100090,10,129,161
100111,31,1883,10781
100111,5,77,223
100111,31,4400,8505
100111,24,31,400
200654,9,4578,5922
200654,1,6206,13424
200654,7,95,8992
200654,8,204,526
201016,11,1855,2264
201016,3,49,188
201016,11,152,1585
201016,5,35,3432
201016,2,160,888
201016,33,150,316
201016,1,629,5079
201016,7,1064,2934
201016,3,20,22
201016,7,15,39
201016,6,36,71
201016,2,22,262
201016,2,35,1138
201016,3,5,134
201016,3,421,495
100073,31,2202,2477
100296,2,3,92
100296,2,92,441
100296,7,1339,7834
100296,11,15,27
100296,11,58,131
100296,3,312,653
100296,3,89,153
100296,7,44,3210
100296,10,4995,14738
100296,8,38,807
100044,1,1992,3211
100044,5,644,652
201180,9,284,500
201180,1,46,1224
201180,9,250,19810
201180,9,2797,6261
201180,1,1288,6397
100114,1,353,2068
100114,1,1992,6690
100114,10,511,586
100070,1,1302,4783
100113,11,270,985
100113,11,1131,9585
100113,3,28,93
100113,3,168,361
100113,2,127,673
100113,3,69,294
100113,6,75,201
100113,3,124,615
100113,3,7,5821
100113,7,1798,7891
100113,9,1143,1497
100113,9,1904,2312
100113,7,292,7734
100113,10,181,1196
100113,1,2661,4608
100113,3,96,15052
100113,6,23,349
100113,10,70,266
